method,scenario_id,step,q_R_x,q_R_y,q_R_z,rate_HR,rate_RL,rate_e2e,reward,constraint_violation,rate_bps,rate_mbps,source_file,source_stage,git_commit,source_code_hash
TD3,eval_0,68,1000,1000,50,7788294.19896,15165214.8255,3894147.09948,2.72445444512,1,3894147.09948,3.89414709948,results/phase4/algorithms and fixed Phase 4 eval_0 scenario,phase5,221c50db0924c5cd02ad69e0e440bbb39da79d6c,013686511bc9830caa578e6aa7d4ea21962f1c845348e8e7a6db66acce6e9f97
TD3,eval_0,69,1000,1000,50,7788294.19896,15165214.8255,3894147.09948,2.7244544443,1,3894147.09948,3.89414709948,results/phase4/algorithms and fixed Phase 4 eval_0 scenario,phase5,221c50db0924c5cd02ad69e0e440bbb39da79d6c,013686511bc9830caa578e6aa7d4ea21962f1c845348e8e7a6db66acce6e9f97
TD3,eval_0,70,1000,1000,50,7788294.19896,15165214.8255,3894147.09948,2.72445444419,1,3894147.09948,3.89414709948,results/phase4/algorithms and fixed Phase 4 eval_0 scenario,phase5,221c50db0924c5cd02ad69e0e440bbb39da79d6c,013686511bc9830caa578e6aa7d4ea21962f1c845348e8e7a6db66acce6e9f97
TD3,eval_0,71,1000,1000,50,7788294.19896,15165214.8255,3894147.09948,2.72445444419,1,3894147.09948,3.89414709948,results/phase4/algorithms and fixed Phase 4 eval_0 scenario,phase5,221c50db0924c5cd02ad69e0e440bbb39da79d6c,013686511bc9830caa578e6aa7d4ea21962f1c845348e8e7a6db66acce6e9f97
TD3,eval_0,72,1000,1000,50,7788294.19896,15165214.8255,3894147.09948,2.72445444457,1,3894147.09948,3.89414709948,results/phase4/algorithms and fixed Phase 4 eval_0 scenario,phase5,221c50db0924c5cd02ad69e0e440bbb39da79d6c,013686511bc9830caa578e6aa7d4ea21962f1c845348e8e7a6db66acce6e9f97
TD3,eval_0,73,1000,1000,50,7788294.19896,15165214.8255,3894147.09948,2.72445444518,1,3894147.09948,3.89414709948,results/phase4/algorithms and fixed Phase 4 eval_0 scenario,phase5,221c50db0924c5cd02ad69e0e440bbb39da79d6c,013686511bc9830caa578e6aa7d4ea21962f1c845348e8e7a6db66acce6e9f97
TD3,eval_0,74,1000,1000,50,7788294.19896,15165214.8255,3894147.09948,2.7244544453,1,3894147.09948,3.89414709948,results/phase4/algorithms and fixed Phase 4 eval_0 scenario,phase5,221c50db0924c5cd02ad69e0e440bbb39da79d6c,013686511bc9830caa578e6aa7d4ea21962f1c845348e8e7a6db66acce6e9f97
TD3,eval_0,75,1000,1000,50,7788294.19896,15165214.8255,3894147.09948,2.724454445,1,3894147.09948,3.89414709948,results/phase4/algorithms and fixed Phase 4 eval_0 scenario,phase5,221c50db0924c5cd02ad69e0e440bbb39da79d6c,013686511bc9830caa578e6aa7d4ea21962f1c845348e8e7a6db66acce6e9f97
TD3,eval_0,76,1000,1000,50,7788294.19896,15165214.8255,3894147.09948,2.72445444419,1,3894147.09948,3.89414709948,results/phase4/algorithms and fixed Phase 4 eval_0 scenario,phase5,221c50db0924c5cd02ad69e0e440bbb39da79d6c,013686511bc9830caa578e6aa7d4ea21962f1c845348e8e7a6db66acce6e9f97
TD3,eval_0,77,1000,1000,50,7788294.19896,15165214.8255,3894147.09948,2.72445444434,1,3894147.09948,3.89414709948,results/phase4/algorithms and fixed Phase 4 eval_0 scenario,phase5,221c50db0924c5cd02ad69e0e440bbb39da79d6c,013686511bc9830caa578e6aa7d4ea21962f1c845348e8e7a6db66acce6e9f97
TD3,eval_0,78,1000,1000,50,7788294.19896,15165214.8255,3894147.09948,2.72445444457,1,3894147.09948,3.89414709948,results/phase4/algorithms and fixed Phase 4 eval_0 scenario,phase5,221c50db0924c5cd02ad69e0e440bbb39da79d6c,013686511bc9830caa578e6aa7d4ea21962f1c845348e8e7a6db66acce6e9f97
TD3,eval_0,79,1000,1000,50,7788294.19896,15165214.8255,3894147.09948,2.72445444481,1,3894147.09948,3.89414709948,results/phase4/algorithms and fixed Phase 4 eval_0 scenario,phase5,221c50db0924c5cd02ad69e0e440bbb39da79d6c,013686511bc9830caa578e6aa7d4ea21962f1c845348e8e7a6db66acce6e9f97
