episode,episode_reward,average_rate_e2e,average_rate_HR,average_rate_RL,average_snr_HR,average_snr_RL,outage_count,constraint_violation_count,trajectory_length,actor_loss,critic_loss,q1_mean,q2_mean,replay_buffer_size,exploration_noise,algorithm,training_seed,rate_bps,rate_mbps,source_file,source_stage,git_commit,source_code_hash
50,200.01854224530933,3169397.757163305,6338795.51432661,15508032.762903092,101.86255173952253,56444.553403731275,0,95,100,,0.4960259199142456,1.13589608669281,1.2022547721862793,5000,0.07783125570686422,TD3,0,3169397.75716,3.16939775716,results/phase4/algorithms/<algorithm>/seed_<seed>/training_log.csv,phase4,221c50db0924c5cd02ad69e0e440bbb39da79d6c,013686511bc9830caa578e6aa7d4ea21962f1c845348e8e7a6db66acce6e9f97
51,199.12597679441737,3161981.144181819,6323962.288363638,15593879.57292005,99.94419131551403,59316.883243069395,0,95,100,-1.554570198059082,0.5720744132995605,1.1805418729782104,1.2118486166000366,5100,0.0774420994283299,TD3,0,3161981.14418,3.16198114418,results/phase4/algorithms/<algorithm>/seed_<seed>/training_log.csv,phase4,221c50db0924c5cd02ad69e0e440bbb39da79d6c,013686511bc9830caa578e6aa7d4ea21962f1c845348e8e7a6db66acce6e9f97
52,194.56080447839332,3112300.7922507166,6224601.584501433,15784368.013255471,93.76042993244825,65512.435834259115,0,94,100,,0.4754105508327484,1.1594558954238892,1.1910786628723145,5200,0.07705488893118825,TD3,0,3112300.79225,3.11230079225,results/phase4/algorithms/<algorithm>/seed_<seed>/training_log.csv,phase4,221c50db0924c5cd02ad69e0e440bbb39da79d6c,013686511bc9830caa578e6aa7d4ea21962f1c845348e8e7a6db66acce6e9f97
53,194.10995558146868,3109284.9448116547,6218569.8896233095,15899030.401209988,91.61244171276633,69065.23697564061,0,94,100,-1.5657272338867188,0.4882389008998871,1.1020289659500122,1.1312739849090576,5300,0.07666961448653231,TD3,0,3109284.94481,3.10928494481,results/phase4/algorithms/<algorithm>/seed_<seed>/training_log.csv,phase4,221c50db0924c5cd02ad69e0e440bbb39da79d6c,013686511bc9830caa578e6aa7d4ea21962f1c845348e8e7a6db66acce6e9f97
54,191.4677736403477,3096012.812763959,6192025.625527918,16047795.186530367,88.99431097527102,75135.28733779947,0,95,100,,0.4663485288619995,1.2371324300765991,1.2386528253555298,5400,0.07628626641409965,TD3,0,3096012.81276,3.09601281276,results/phase4/algorithms/<algorithm>/seed_<seed>/training_log.csv,phase4,221c50db0924c5cd02ad69e0e440bbb39da79d6c,013686511bc9830caa578e6aa7d4ea21962f1c845348e8e7a6db66acce6e9f97
55,189.12910340186642,3101770.591393919,6203541.182787838,16030480.574671347,89.66329570633302,75164.38246529098,0,98,100,-1.6122894287109375,0.5133926868438721,1.2276556491851807,1.2569289207458496,5500,0.07590483508202915,TD3,0,3101770.59139,3.10177059139,results/phase4/algorithms/<algorithm>/seed_<seed>/training_log.csv,phase4,221c50db0924c5cd02ad69e0e440bbb39da79d6c,013686511bc9830caa578e6aa7d4ea21962f1c845348e8e7a6db66acce6e9f97
56,190.21612630233741,3077147.868093664,6154295.736187328,16228612.021670595,86.17304503185913,84729.59918743891,0,94,100,,0.45650070905685425,1.1627123355865479,1.216186285018921,5600,0.075525310906619,TD3,0,3077147.86809,3.07714786809,results/phase4/algorithms/<algorithm>/seed_<seed>/training_log.csv,phase4,221c50db0924c5cd02ad69e0e440bbb39da79d6c,013686511bc9830caa578e6aa7d4ea21962f1c845348e8e7a6db66acce6e9f97
57,188.01008024806427,3056763.0622296254,6113526.124459251,16273729.08951836,84.64542864418598,87157.16114738482,0,94,100,-1.615869402885437,0.37116414308547974,1.1942358016967773,1.2480517625808716,5700,0.07514768435208591,TD3,0,3056763.06223,3.05676306223,results/phase4/algorithms/<algorithm>/seed_<seed>/training_log.csv,phase4,221c50db0924c5cd02ad69e0e440bbb39da79d6c,013686511bc9830caa578e6aa7d4ea21962f1c845348e8e7a6db66acce6e9f97
58,188.3363030113138,3060533.6120105106,6121067.224021021,16291265.583573198,84.39695550052487,86256.55604124867,0,94,100,,0.38572001457214355,1.2078717947006226,1.2408419847488403,5800,0.07477194593032548,TD3,0,3060533.61201,3.06053361201,results/phase4/algorithms/<algorithm>/seed_<seed>/training_log.csv,phase4,221c50db0924c5cd02ad69e0e440bbb39da79d6c,013686511bc9830caa578e6aa7d4ea21962f1c845348e8e7a6db66acce6e9f97
59,189.09336044437333,3067513.121147595,6135026.24229519,16309646.249842085,84.85515069374452,89156.97381870983,0,94,100,-1.6926393508911133,0.448743999004364,1.150560736656189,1.1647391319274902,5900,0.07439808620067385,TD3,0,3067513.12115,3.06751312115,results/phase4/algorithms/<algorithm>/seed_<seed>/training_log.csv,phase4,221c50db0924c5cd02ad69e0e440bbb39da79d6c,013686511bc9830caa578e6aa7d4ea21962f1c845348e8e7a6db66acce6e9f97
